time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-02-07T19:48:58.014Z,deposit,USDC,0.99989900,,stargate.optimism,0ad16cd0-045e-11f1-8b07-574a1a9abcf5,0xc4165d224334fbb2894fb61b0dbedad74511f7181cd09993f54adf35a658a106,,,
2026-02-07T20:15:14.011Z,withdrawal,USDC,2.00000000,0.85701026,stargate.arbitrum,b62e6a30-0461-11f1-98b8-8915c30c9f6f,0x85c3d751c5c23400657f76c54e61039164c3572bd084d350c96d693d54d7171c,mined,,
2026-02-07T20:15:19.683Z,withdrawal,USDC,2.00000000,0.81189677,stargate.avalanche,b98dc1d0-0461-11f1-a86d-1ddec19b28c2,0x2179f4cd6f83ed07998fab627bd374a290f8c98df2bf7a2de3ecd5c05f751a78,mined,,
2026-02-07T20:15:26.398Z,withdrawal,USDC,2.00000000,0.81928012,stargate.base,bd908560-0461-11f1-a69e-91fe0786d1de,0x31b300702331886992d05b9fbbc0cb798ce2569afe0aef55b6ed93867e31dd8a,mined,,
2026-02-07T20:15:36.569Z,withdrawal,USDC,2.00000000,0.78194626,stargate.berachain,c3a0a520-0461-11f1-bff8-f1b9afc8c9b6,0x4dde35578ea9a9b1ccbb9950eb934953e3da724ba14775cd10d895ecb5bf450d,mined,,
2026-02-07T20:15:42.831Z,withdrawal,USDC,2.00000000,0.76200705,stargate.ethereum,c75c2680-0461-11f1-adde-c367d11b596b,0x35b5b48fb76372ec9d28f8af5ff82feba7d59f881464687a7050ef97d1ef6f28,mined,,
2026-02-07T20:15:50.404Z,withdrawal,USDC,2.00000000,0.81348082,stargate.optimism,cbdfb2d0-0461-11f1-815c-13634685a54f,0x55672fab77805781cffd6e82bdfd2d0ed7e17ec39c0b205b31fb7dec6b734aae,mined,,
2026-02-07T20:32:22.011Z,deposit,USDC,0.99989900,,stargate.optimism,1aebd5a0-0464-11f1-8b07-574a1a9abcf5,0xfd2e7c6dd767a1f14ef925a7a9eca5c20aab5dd8b0ee1666ec017d14710c8887,,,
2026-02-07T22:13:22.007Z,deposit,USDC,2.00000000,,stargate.ethereum,36f5fe70-0472-11f1-8b07-574a1a9abcf5,0xdf8375d70121d5561abd744439969c85d204393d1ab3c88afb41d1acee031083,,,
2026-02-07T22:26:30.621Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,0d020670-0474-11f1-8abc-5521144f5f26,0x92edcd0f7110acb4435f94026bb744356cdb3235ce45ae4cde84dd1fcf30e105,mined,,
2026-02-07T22:26:43.596Z,withdrawal,USDC,2.00000000,0.67852640,stargate.arbitrum,14bdb350-0474-11f1-9b88-d9a3d4ec4f2f,0x2a74b44161f1977e2645663aa61b4910e4dbdc62b2ceeede2fc228b802138837,mined,,
2026-02-07T22:26:53.164Z,withdrawal,USDC,2.00000000,0.63330107,stargate.avalanche,1a718240-0474-11f1-815c-13634685a54f,0xf331d103d37bec69aa09c849349af6a514cb2a8088798f6407dfa49da110d085,mined,,
2026-02-07T22:27:04.047Z,withdrawal,USDC,2.00000000,0.64070957,stargate.base,20edf860-0474-11f1-81e6-a9ed11fda549,0x51ce4ab986b185ba72ca5b808e954cd3954a192fef281c67ec28a1be9a0fa5a8,mined,,
